PERF: instrs=127911, cycles=1740744, IPC=0.073481
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127909, cycles=1740333, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127886, cycles=1739644, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127913, cycles=1740438, IPC=0.073495
PERF: instrs=127912, cycles=1740375, IPC=0.073497
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127888, cycles=1739634, IPC=0.073514
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127909, cycles=1740333, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127886, cycles=1739644, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127913, cycles=1740438, IPC=0.073495
PERF: instrs=127912, cycles=1740375, IPC=0.073497
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127888, cycles=1739634, IPC=0.073514
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127909, cycles=1740333, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127886, cycles=1739644, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127913, cycles=1740438, IPC=0.073495
PERF: instrs=127912, cycles=1740375, IPC=0.073497
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127888, cycles=1739634, IPC=0.073514
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127909, cycles=1740333, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127886, cycles=1739644, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127913, cycles=1740438, IPC=0.073495
PERF: instrs=127912, cycles=1740375, IPC=0.073497
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127888, cycles=1739634, IPC=0.073514
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127909, cycles=1740333, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127912, cycles=1740375, IPC=0.073497
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127913, cycles=1740438, IPC=0.073495
PERF: instrs=127886, cycles=1739644, IPC=0.073513
PERF: instrs=127888, cycles=1739634, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127909, cycles=1740333, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127912, cycles=1740375, IPC=0.073497
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127913, cycles=1740438, IPC=0.073495
PERF: instrs=127886, cycles=1739644, IPC=0.073513
PERF: instrs=127888, cycles=1739634, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127909, cycles=1740333, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127912, cycles=1740375, IPC=0.073497
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127913, cycles=1740438, IPC=0.073495
PERF: instrs=127886, cycles=1739644, IPC=0.073513
PERF: instrs=127888, cycles=1739634, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127909, cycles=1740333, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127912, cycles=1740375, IPC=0.073497
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127913, cycles=1740438, IPC=0.073495
PERF: instrs=127886, cycles=1739644, IPC=0.073513
PERF: instrs=127888, cycles=1739634, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127909, cycles=1740333, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127912, cycles=1740375, IPC=0.073497
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127910, cycles=1740375, IPC=0.073496
PERF: instrs=127885, cycles=1739623, IPC=0.073513
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127913, cycles=1740438, IPC=0.073495
PERF: instrs=127886, cycles=1739644, IPC=0.073513
PERF: instrs=127888, cycles=1739634, IPC=0.073514
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127879, cycles=1739497, IPC=0.073515
PERF: instrs=127877, cycles=1739491, IPC=0.073514
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127908, cycles=1740333, IPC=0.073496
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127914, cycles=1740453, IPC=0.073495
PERF: instrs=127881, cycles=1739575, IPC=0.073513
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127884, cycles=1739602, IPC=0.073513
PERF: instrs=127881, cycles=1739560, IPC=0.073513
PERF: instrs=127913, cycles=1740417, IPC=0.073496
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127911, cycles=1740390, IPC=0.073496
PERF: instrs=127880, cycles=1739533, IPC=0.073514
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127883, cycles=1739596, IPC=0.073513
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127909, cycles=1740369, IPC=0.073495
PERF: instrs=127881, cycles=1739552, IPC=0.073514
PERF: instrs=127914, cycles=1740411, IPC=0.073496
PERF: instrs=127909, cycles=1740306, IPC=0.073498
PERF: instrs=127882, cycles=1739560, IPC=0.073514
PERF: instrs=127913, cycles=1740396, IPC=0.073496
PERF: instrs=127885, cycles=1739644, IPC=0.073512
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127884, cycles=1739623, IPC=0.073512
PERF: instrs=127915, cycles=1740459, IPC=0.073495
PERF: instrs=127915, cycles=1740459, IPC=0.073495
PERF: instrs=127914, cycles=1740438, IPC=0.073495
PERF: instrs=127886, cycles=1739665, IPC=0.073512
PERF: instrs=127882, cycles=1739596, IPC=0.073512
PERF: instrs=127912, cycles=1740432, IPC=0.073494
PERF: instrs=127884, cycles=1739623, IPC=0.073512
PERF: instrs=127912, cycles=1740417, IPC=0.073495
PERF: instrs=127913, cycles=1740447, IPC=0.073494
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127912, cycles=1740426, IPC=0.073495
PERF: instrs=127912, cycles=1740462, IPC=0.073493
PERF: instrs=127883, cycles=1739611, IPC=0.073512
PERF: instrs=127911, cycles=1740420, IPC=0.073494
PERF: instrs=127882, cycles=1739590, IPC=0.073513
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127883, cycles=1739611, IPC=0.073512
PERF: instrs=127881, cycles=1739584, IPC=0.073512
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127909, cycles=1740399, IPC=0.073494
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127888, cycles=1739664, IPC=0.073513
PERF: instrs=127912, cycles=1740468, IPC=0.073493
PERF: instrs=127912, cycles=1740447, IPC=0.073494
PERF: instrs=127883, cycles=1739624, IPC=0.073512
PERF: instrs=127913, cycles=1740483, IPC=0.073493
PERF: instrs=127913, cycles=1740483, IPC=0.073493
PERF: instrs=127885, cycles=1739653, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127883, cycles=1739632, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127913, cycles=1740489, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127884, cycles=1739647, IPC=0.073511
PERF: instrs=127910, cycles=1740399, IPC=0.073495
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127914, cycles=1740489, IPC=0.073493
PERF: instrs=127913, cycles=1740447, IPC=0.073494
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127912, cycles=1740462, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127912, cycles=1740441, IPC=0.073494
PERF: instrs=127882, cycles=1739590, IPC=0.073513
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127881, cycles=1739584, IPC=0.073512
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127910, cycles=1740420, IPC=0.073494
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127888, cycles=1739664, IPC=0.073513
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127912, cycles=1740447, IPC=0.073494
PERF: instrs=127883, cycles=1739624, IPC=0.073512
PERF: instrs=127913, cycles=1740483, IPC=0.073493
PERF: instrs=127913, cycles=1740483, IPC=0.073493
PERF: instrs=127885, cycles=1739653, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127883, cycles=1739632, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127913, cycles=1740489, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127884, cycles=1739647, IPC=0.073511
PERF: instrs=127910, cycles=1740399, IPC=0.073495
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127914, cycles=1740489, IPC=0.073493
PERF: instrs=127913, cycles=1740447, IPC=0.073494
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127912, cycles=1740462, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127912, cycles=1740441, IPC=0.073494
PERF: instrs=127882, cycles=1739590, IPC=0.073513
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127881, cycles=1739584, IPC=0.073512
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127910, cycles=1740420, IPC=0.073494
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127888, cycles=1739664, IPC=0.073513
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127912, cycles=1740447, IPC=0.073494
PERF: instrs=127883, cycles=1739624, IPC=0.073512
PERF: instrs=127913, cycles=1740483, IPC=0.073493
PERF: instrs=127913, cycles=1740483, IPC=0.073493
PERF: instrs=127885, cycles=1739653, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127883, cycles=1739632, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127913, cycles=1740489, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127884, cycles=1739647, IPC=0.073511
PERF: instrs=127910, cycles=1740399, IPC=0.073495
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127914, cycles=1740489, IPC=0.073493
PERF: instrs=127913, cycles=1740447, IPC=0.073494
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127912, cycles=1740462, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127912, cycles=1740441, IPC=0.073494
PERF: instrs=127882, cycles=1739590, IPC=0.073513
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127881, cycles=1739584, IPC=0.073512
PERF: instrs=127883, cycles=1739626, IPC=0.073512
PERF: instrs=127910, cycles=1740420, IPC=0.073494
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127888, cycles=1739664, IPC=0.073513
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127912, cycles=1740447, IPC=0.073494
PERF: instrs=127883, cycles=1739624, IPC=0.073512
PERF: instrs=127913, cycles=1740483, IPC=0.073493
PERF: instrs=127913, cycles=1740483, IPC=0.073493
PERF: instrs=127885, cycles=1739653, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127883, cycles=1739632, IPC=0.073512
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127913, cycles=1740468, IPC=0.073493
PERF: instrs=127913, cycles=1740489, IPC=0.073493
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127884, cycles=1739647, IPC=0.073511
